S/N,COUNTRY,PROJECT TITLE,PROJECT CATEGORY,OWNER NAME,BLURB
1,United States,Print Atlas Quarterly: American Craft And Curio,Periodicals,Laura Palmer,Atlas Quarterly is a glossy print magazine that tells stories about American makers and beautiful objects from the past.
3,United Kingdom,30 Years Of Silence: The Mysterious Death Of Willie Mcrae,Nonfiction,Paul Delamore,"In 1985, the SNP's Willie McRae was found dying in his crashed car - with a bullet to his head. In 2015, it's time to end the silence."
5,United States,Neon Shakespeare: Sonnets For A New Millennium,Poetry,Joel Doerfel,A genre-defining work comprised of 154 iambic rap-battles with the bard himself.
7,United States,Retrospective Collection Of Kal Cartoons From The Economist,Art Books,Kevin Kallaugher,Daggers Drawn: 35 years of editorial cartoons and covers from The Economist by the award winning artist Kevin KAL Kallaugher
9,United States,Unstuck #3: New Literature Of The Fantastic And The Surreal,Publishing,Matt Williamson,"A big, lavishly illustrated new anthology of short stories, poems, and essays with elements of the improbable and the uncanny."
11,United States,The Giraffe's Mustache?,Children's Books,Katie Rains Designs,"Based on the one-of-a-kind plush giraffes designed by Katie Rains, ""The Giraffe's Mustache?"" is a children's storybook you can color."
13,United States,There Is Nothing Beautiful Around Here,Art Books,Paccarik Orue,An art book about unexpected beauty in a complex place.
15,United States,99 Ways To Die - A Coloring Book For Adults,Art Books,Christopher Locke,This coloring book is NOT for kids! It's for adults who enjoy laughing at (& coloring) pics of people dying in lots of different ways.
17,United States,"Golden Dreams, The Art Of Ruth Sanderson",Art Books,Ruth Sanderson,"Fantasy art and book illustration by award winning artist Ruth Sanderson, collected in a 224-page full color art book"
19,United States,Writers For Dinner: Summer Tour,Nonfiction,Sarah Einstein & Dominik Heinrici,"Writers for Dinner is going to hit the road, buying dinner for writers and gathering their stories for our website."
21,United States,Xoxo Makes A Book,Publishing,Kickstarter,XOXO Fest is a celebration of independently produced art and technology. Let's make a book about it!
23,United States,Her Animals,Poetry,Hummingbird Press,"Her Animals by poet/activist Emily Johnston (Hummingbird Press, fall 2015) printed the way a book should be: sustainably and locally."
25,United States,Pawpaw: The Story Of America's Forgotten Fruit,Nonfiction,Andy,This is a book about the pawpaw - a mostly forgotten fruit native to North America.
27,United States,Stretch: The Unlikely Making Of A Yoga Dude,Fiction,Neal Pollack,I've written a comic memoir about my adventures in American yoga culture. It comes out in August 2010. And now I want to train to be a yoga teacher. 
29,Germany,"The Nine Months, Three Weeks & Five Days That I Was Famous'",Fiction,Lollie Barr,What would you do if you became the most famous person in the world overnight? Embrace it or run like hell?
31,United States,"""The Best Is Yet To Come"" 2016 Daily Planner",Calendars,Polly (Payne) Willoughby,"Our 12-month Christian planner is designed to help you dream big, refocus on your passions, live generously and stay inspired."
33,United States,Publish Perfect Horror: The Alternative Coloring Book,Art Books,Christine Kiki Schirr,Join my art project: publish my creepy-cute alt illustrations so we can color them and share!
35,United States,Guernica 2014 Annual,Literary Journals,Guernica Magazine,"After ten years of publishing free online content on a daily basis, Guernica is going analog. Pre-order your copy of our first Annual."
37,United States,Chinglish At University Of Michigan,Theater,Flores Komatsu,"""Chinglish"", by David Henry Hwang, is a sharp and hilarious play about the struggles of communication through language and culture."
39,United States,Welcome To The Hard Luck Cafe,Musical,Karin Ringheim,Help launch an Equity Showcase production in New York City of a new musical with a hopeful perspective on recovery from addiction!
41,United States,The Journey To The Aerial Dragon!,Theater,Kaitlin Chin,"Two beautiful women, one giant dragon (with lots of strings attached!), and aerial acrobatics."
44,United Kingdom,Stand Up & Slam! At The Edinburgh Fringe,Festivals,Lucy Danser,Bringing together art forms by making them fight - and challenging audience perceptions. It's Comedy VS Poetry in a spoken word battle!
46,Canada,Save The Stardust Drive-In Theatre,Theater,Kayla Nelson,We need your help to save part of North American history!  Check out our news video at:  http://bcove.me/3i2zd1ov
48,United States,Above The Noise: A New A Capella Musical - Demo Recording,Musical,Jermaine Golden & Rick Burkhardt,We need your help! A quality Demo of our original music is the next step in getting this new musical off of the page & onto the stage!
50,United Kingdom,'Cornermen' - Smoke & Oakum Theatre Return To The Fringe!,Plays,Oliver Forsyth,"Once again Smoke & Oakum Theatre is heading up to the Edinburgh Festival with its latest show, 'Cornermen'. Welcome to our Kickstarter!"
52,United States,The (Out)Siders Project,Plays,Cry Havoc Theater Company,A new work inspired by the classic novel and created by Dallas teens under the direction of professional artists.
54,United States,"I Died... I Came Back, ... Whatever",Plays,Cyanne Mcclairian,Sometimes your Heart has to STOP for your Life to START.
57,United States,Honest Accomplice Theatre 2015-16 Season,Plays,Honest Accomplice Theatre,Honest Accomplice Theatre produces theatre for social change.
