S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
109C,A World Premiere Multi-Writer Play of Epic Proportions!,Theater,United States,Amios,Help us discover what happens when 5 writers create a single script  brought to life by 2 directors & 7 actors in May 2013.
143C,A Slice of Reggie - An Original Musical,Musical,United States,Benjamin Sulzberger,Staging a musical about love anger pizza and presidents written by two high school seniors from Iowa. Kinda crazyright?
163C,"""Falcons in the City"" Children's Picture Book",Children's Books,United States,Lisa Manning,Falcons in the City is a picture book about Frida the peregrine falcon who   lives on the Fremont Bridge in PortlandOregon.
5,Neon Shakespeare: Sonnets For a New Millennium,Poetry,United States,Joel Doerfel,A genre-defining work comprised of 154 iambic rap-battles with the bard himself.
323B,ALCATRAZ: ART BEHIND BARS,Theater,United States,THE ISLAND COLLECTIVE,A renegade group of artists has found inspiration on The Rock! Join them Oct 30 for a ONE-TIME immersive theatrical experience!
162C,MOOD music & food magazine,Periodicals,United States,MOOD music & food magazine,MOOD is a magazine about music and food. We have one issue online and now we want to go to print. Join us!
197C,PUTTING IT TOGETHER: Porchlight Music Theatre,Theater,United States,Porchlight Music Theatre,Help fund the salaries of the performers in this Sondheim revue by Porchlight Music Theatre.
123B,The Steadfast by Mat Smart,Theater,United States,Slant Theatre Project,The Steadfast is an unflinching look at eight US soldiers across the sweep of American history.
146C,The Book's the Thing - Welcome to Hamlet's Library,Plays,United Kingdom,Librarian Theatre,The first regional library-touring show from new UK company Librarian Theatre - transforming local libraries into magical theatres
598C,Poems + Prints: A Book Arts Project in the Wild Midwest,Poetry,United States,Laura Brown,"six poets + one printmaker = poems for everyone!  pocket-sized, postcard-sized, hang-it-on-the-wall-sized."
254C,This Property Is Condemned,Theater,United States,helyn rain messenger,Live and breathing music sweeping through three short plays by Tennessee Williamsinterwoven with folk art and libations for all.
32,11/9: a technothriller novel (Staff Pick),Fiction,GB,Ben Lovejoy,A technothriller in the Michael Crichton vein. Terrorists attempting an attack bigger than 9/11.
331B,Help Sofa Specific get to Edinburgh!,Theater,United Kingdom,Sofa Specific,Semi silent comedy theatre meets the king of all soft furnishings; The Sofa. Help this Theatrical marvel reach Edinburgh!
450C,The Song of the Summer King... in Hardcover!,Fiction,United States,Jessica (Owen) Kara,"An exciting new fantasy, stunning cover art, all that's left is to print! Let's create a beautiful collectible out of my debut novel."
235C,Death's Daughter and the Basket of Kittens,Publishing,United States,Martha Hull,"An adorable coming of age tale (and apocalyptic bloodbath) starring the Grim Reaper's daughter, told in a 64-page color picture book."
621C,The Late Live Show: The Quest for a Fifth Season,Theater,United States,The Late Live Show,We're trying to get enough money to cover theater rental and sound equipment for a fifth season of our show.
581C,Pin Up Perfection Palooza,Festivals,United States,Samantha Crawford,"Come and experience Pittsburgh's premiere pin up and burlesque festival, taking place in the historic Altar Bar in the Strip District!!"
285C,Moreau Horrors,Theater,United States,Jess Wilson,The Moreau Horrors is an original musical adaptation of the HG Wells' Sci-Fi classic The Island of Dr. Moreau. Ohand puppets!
326C,Yesterday AgainPlease - A New Play by Dezi Gallegos,Plays,United States,Natalie Herman,"A new work about guilt, trauma, love, and change; this original play tells the story of a boy and a girl who love and lose each other."
555C,"""Swing It! Songs of the Andrews Sisters"" Hits the High Seas!",Theater,United States,Swing It! Songs of the Andrews Sisters,A fresh new tribute show that's sure to have audiences jumping and jiving...even those who've never heard of the Andrews Sisters!
525C,KIM JONG IL: The Unauthorized Autobiography,Nonfiction,United States,Michael Malice,"""We don't want hordes of tourists to come here and spread AIDS and pollute our land."" -Kim Jong-Il4/25/98 (Juche 87)"
276C,Teach the Whistlers how to fly!,Theater,United States,Meg Taintor,Can you spare $10? Help the Whistlers fund the most challenging project yet - an adaptation of Ovid's THE METAMORPHOSEScomplete with aerial silks!!!
386B,Shakespeare's The Tempest in Roswell - Steampunk Done Right!,Theater,United States,North Fulton Drama Club,"Exiled from a world he knew, Prospero created a New World. Part magical, part mechanical, this is our Steampunk Tempest."
277B,Grammar Land Performances,Plays,United States,Sean Lenihan,I want to create a theatrical performance of the book Grammar Land and present it at schools to help children learn proper grammar.
602C,Publish Poor Millionaires by Nathan Roberts & Michael Kimpur,Nonfiction,United States,Nathan Roberts & Michael Kimpur,A former World Vision sponsor child and a young American started a school in Kenya for victims of war. Help us publish our story!
79C,Russian Criminal Tattoo Police Files,Art Books,United Kingdom,FUEL Design & Publishing,A new book featuring incredible photographs of Russian prisoners tattoos and their coded meanings collected from Soviet Police files.
304C,New Riyria Fantasy Novel: The Death of Dulgath (Staff Pick!),Fiction,United States,Michael J. Sullivan,Michael J. Sullivan's unlikely heroesRoyce and Hadrianreturn in a classic fantasy for both Riyria veterans and first-time readers.
97,A Life in the City,Theater,United States,Nick Jester,"""A Life in the City"" is a brand new musical premiering in Lincoln, Nebraska this summer with your help!!"
359B,Outpost Journal: Baltimore,Art Books,United States,Outpost Journal,"Outpost is an annual, non-profit print publication on art and arts-based community activism from traditionally underexposed cities."
81,papercranes multi-platform artist residency,Theater,United States,Rain Phoenix,"Like-minded artists asked to interpret LOVE through their respective practices: music, dance; trapeze; visual arts; fashion; film."
103B,Tender Napalm,Theater,United States,Graham Hamilton,"Funny, brutal, and surprisingly touching, Tender Napalm is a gorgeously rendered and singular play."
343B,THE ROOMS PLAY,Immersive,United States,Copycat Theatre,"Rooms Play is an immersive play about migration, a journey where you become the hero!"
412B,"""My Spiritual Death, a Comedy Show!""",Theater,United States,Katie Rubin,"Katie's third Solo Show honors and makes overt fun of addiction recovery, personal growth and spiritual healing."
484C,AMERICAN PSYCHO,Musical,United States,Jesse Singer,Patrick Bateman LIVE on stage! Bring a raincoat.
200C,TAPE by Stephen Belber,Theater,United States,Derek Underwood,"TAPE is a sordid and beautiful take on human relationships.""-Show Business Weekly"
235B,bring the children home...,Festivals,United States,marcie rendon,A play about people's search for meaning and identity in a world gone crazy.  Raving Native Productions at the MN Fringe.
348B,MIGHTY REAL SYLVESTER GOES TO BROADWAY!,Musical,United States,"ANTHONYKEN, LLC.","MIGHTY REAL,The New SYLVESTER Musical, is coming to Broadway and we need your help! Go to www.FabulousSylvester.com and DONATE TODAY!"
409B,undergroundzero festival,Theater,United States,undergroundzero festival & cooperative,"The undergroundzero experimental theater festival presented at the Living Theatre and Clemente Soto Velez June 26 - July 28, 2012"
543C,Black Tonic 2015: Our theatre thriller in a hotel is back,Immersive,United Kingdom,The Other Way Works,Mysterious & visceral. Interactive theatre meets mini-break as audiences play detective in the bedrooms & corridors of a real hotel.
196B,THE TOUGHEST GIRL ALIVE! The Life & Times of Candye Kane,Theater,United States,Javier Velasco,"The 99.9 percent true story of plus-sized... sex positive feminist... blues singing activist Candye Kane, in her own words and music."
264B,"Send ""The VindleVoss Family Circus Spectacular"" on tour!",Theater,United States,Circus VindleVoss,New York City nostalgic mayhem makers CIRCUS VINDLEVOSS have been invited to perform their zombie circus play at two fringe festivals!
404B,What Became of Harley Warren?,Theater,United Kingdom,Re:Conception Theatre,"A new play based on ""The Statement of Randoph Carter""         by H.P. Lovecraft"
102,The Last Eden,Theater,US,Dirt [contained] Theatre Company,One young girl escapes a harsh concrete dystopian world to embark on a journey in search of the last place on earth with trees...
424B,Grim Tides: A Marla Mason Novel,Fiction,United States,Tim Pratt,"Grim Tides will be a free-to-read online serial novel about Marla Mason, latest in the urban fantasy series started with Blood Engines."
487C,Before The Red Trees Come,Theater,United States,Kristopher Lee Bicknell,A neworiginal silent play to be produced at the Hollywood Fringe Festival in June 2012.
27,Stretch: The Unlikely Making Of A Yoga Dude,Fiction,United States,Neal Pollack,I've written a comic memoir about my adventures in American yoga culture. It comes out in August 2010. And now I want to train to be a yoga teacher. 
17,"GOLDEN DREAMS, The Art of Ruth Sanderson",Art Books,United States,Ruth Sanderson,"Fantasy art and book illustration by award winning artist Ruth Sanderson, collected in a 224-page full color art book"
297B,Feel Brave! Stories to help children manage tough emotions.,Children's Books,United Kingdom,Avril McDonald,Help us build a basic application to give children access to the 'Feel Brave' characters and their stories and poems.
311C,Not NowOllie!  (a book about a bored Pug),Children's Books,United States,Jen Leach,In this vividly illustrated children's booka bored pug teaches his busy owner a thing or two about what's really important.
462C,Love at the end of time--FringeNYC 2015,Festivals,United States,Adam Swartz,Haunted by ghosts of love & crimes6 people woven into surprising intimacies by the great serpent of Time. A new play: FringeNYC 2015.
306B,"""First You Jump"" World Premiere",Musical,United States,Eva Moon,"Bring ""First You Jump"" - a surreal and darkly comic new musical play by Eva Moon - to the stage for its world premiere."
112B,Wily West Production of SHEHEREZADE XII:2012 for PCSF,Theater,United States,Jennifer Roberts,"A member Showcase production of the annual festival, Sheherezade for PCSF.  Dynamic short plays by talented local area playwrights"
471B,64-A vaudeville of the mind,Theater,United States,Robert Prichard,"A collage of theater, art, music, video & sound-scapes"
337C,LIEBE LOVE AMOUR!,Theater,United States,Anonymous Ensemble,A live theatre film thing starring Hilda and you.
428B,"Hello, Absurd World: A Book of 5 Minute Poems",Fiction,United States,H.M.,"Hello, Absurd World is a book of poems written to strangers: unedited poetic communications. I am fundraising to self-publish the book."
232C,"""Take Your Time Loving Me""",Art Books,United States,Margaux Kent,"This is a book about unexpected shedding(s). Transformation.And about the time Søren, then 3, said ""Mama, take your time loving me"""
223B,HANNAH Magazine: A Celebration of Black Women (Staff Pick!),Zines,United States,"Qimmah Saafir, EIC of HANNAH Magazine",HANNAH is a beautiful biannual print book that will add important voices to the ongoing narrative about Black women-our own.
609C,Familiemusikalen Piken med Fyrstikkene,Musical,Norway,Monica Sik Holm,Det klassiske eventyret i en sjarmerende musikalversjon for liten og stor!
83,Night Light Theatre presents 'RIFT ZONE',Theater,United Kingdom,Rich & Sarah,"Night Light Theatre are making a new devised piece inspired by the myths and legends of Iceland, and we need your help!"
126C,The Downfall of the School' Live Concert Recording,Musical,United Kingdom,Robert Gathercole,"Mad Hatter Productions' first original musical 'The Downfall of the School', is being adapted for a live concert recording on Dec 19th!"
276B,The Girl Who Swallowed the Sun,Experimental,United States,Felicia Cooper,A solo puppet show created entirely out of repurposed materials that weaves together global heliocentric folklore!
464B,Poetic License 2013,Theater,United States,Alex Mallory,"2nd annual festival of new poetic theater featuring plays & poetry by 20 of the most diverse, exciting voices from across the country."
14,This Book Is About Travel (A Manual For Modern Movement),Nonfiction,US,Andrew Hyde,"I've spent the last two years on the road traveling to 11 countries. A collection of stories, photos and tips to get inspired and go!"
628C,"Andina, the Opera That Never Was",Musical,United States,Arlen Parsa,"What would you do if you discovered your great grandfather's long-lost opera? Help us resurrect ""Andina"" for the world to finally see!"
329B,"New, Original Adaptation of ""The Little Mermaid.""",Theater,United States,Adapt Theatre Productions,"Adapt Theatre Productions, a Chicago-based company formed by alumni of Oklahoma City University, is producing their inaugural show."
210C,Marx Brothers Festival New York,Theater,United States,Kevin C. Fitzpatrick,"Help support New York's Marxfest, celebrating the 100th Anniversary of the Marx Brothers adopting their ""O"" nicknames."
457C,Dogs RuleNonchalantly,Publishing,United States,Mark Ulriksen,New Yorker cover artist Mark Ulriksen writes and illustrates his first book - all about dogs.
454B,"""Dearly Beloved"" - A CoLab Theatre Co. Production",Theater,United States,The CoLab,"""Dearly Beloved"" is the first full production of The CoLab Theatre Co and a World-Premiere by Boston playwright Brendan Doris-Pierce."
484B,ImageS Magazine #13 - The Golden Glory of the Art I Love,Theater,United States,Jim Vadeboncoeur Jr,Issue 13 of The Vadeboncoeur Collection Of ImageS. 60 pages of the most glorious color art from the turn of the 20th Century.
150B,David Mack: MUSE life drawings 2012-2014,Art Books,United States,Thomas Negovan,"New York Times bestselling author and artist David Mack (Daredevil, Kabuki) shares his most intimate drawings in a deluxe art book."
372C,Poetic Notions - A Collection of Poems,Poetry,United States,Wade Newsom,"Wade's poems are heart, felt, poignant and thought-provoking. His words will speak to you, challenge you, and often times surprise you."
71,All Girls,Theater,United States,Anne Louise Marquis,"All Girls is a hyper real, sometimes surreal play about three teenage girls and one colossally scary mother. Things happen. Come see."
565C,Cirque du Horror - A Halloween Spooktacular,Theater,United States,David Pierce,Delightfully wicked musical theatre! A truly unique collaboration of the arts in a Halloween review suitable for the entire family.
332B,The Seagull on The River,Plays,United States,Taylor,Anton Chekhov's The Seagull. An outdoor Amphitheater in Manhattan. Trees. A River. Daybreak.
256B,Screw Tooth [new live performance & theater] SEASON 1,Theater,United States,Adam Stone,"Screw Tooth creates new live performance, theater and installation collaboratively with performers and artists of various media."
133,Help fund Anything Goes at MHS!,Musical,US,McFarland High School Musical,Please help McFarland high school raise money for our production of Anything Goes!
522C,An Unpretentious Guide & Coloring Book to Electric Vehicles,Publishing,United States,Ayumi Kim,"A modern age coloring book and guide to electric vehicles! Funny antics, bizarre questions, useful infographics! Simply electrifying!"
159C,A Million Miles - a novel,Fiction,United States,Amy Fleisher Madden,A Million Miles is an intense coming of age story told with the indie/emo music scene of the late '90s set as the backdrop.
45,Where All The Rivers Go To Sleep at NYMF 2015,Musical,US,Gelber & Manning,"An official selection of the New York Musical Theatre Festival, set in Storyville, New Orleans at the dawn of jazz."
402B,It's All That Glitters: Burlesque Extravaganza,Theater,United States,Brian C. Janes,"Photo Gallery, Burlesque Show, and Group Book Signing to celebrate the release of my first coffee table book, ""It's All That Glitters""."
102C,Distant Fires,Theater,United States,I.N. Sierros,"A funny and insightful play about a crew of high rise construction workers arguing their way up the ""ladder of opportunity."""
411C,Physical Festival Chicago 2014,Festivals,United States,Physical Festival,Physical is a 9-day festival celebrating contemporary physical theater with its inaugural year in Chicago July 25th to August 2nd!
249C,KARLOFF: a new one-person play,Theater,United States,Randy Bowser,"Monstrously engaging tribute to Boris ""Frankenstein"" Karloff.  He sings!  He dances!  He growls!  It's Gooooooood!"
132B,PCSF 24-Hour Festival,Festivals,United States,Jennifer Roberts,"8 plays from inception to production in less than 24-hours! It's a fast-paced, high-energy theatre experience for artists & audiences!"
398C,Moving Dust presents 'THIS MUCH' 2015,Plays,United Kingdom,Moving Dust,3 boys1 white dress and a hoover collide in this explosive new play by John Fitzpatrick. Life's a wedding disco. Let's dance.
435C,The Dead Loss,Plays,United Kingdom,Matt Swales/James Howell/Max Mordue,1920's London; two brothers try to make a name for themselves in the underground crime world but encounter a ruthless Irish mob boss.
490B,"""Next Stop"" - Adjusting to dating in NYC",Plays,United States,Noga Milstein,A new original play that follows two Israeli singles navigate the humorous and confusing dating scene of NYC.
83C,Spatter & Spark: Interactive Story & Activities App for Kids,Children's Books,United States,Polk Street Press,Reinvent stories and learning for kids with Polk Street PressNYTimes bestselling author Deborah Underwoodand artist Luciana Powell.
586C,The Scooter Diaries,Nonfiction,Canada,Gordon Bowman,An epic adventure romance through Latin America on a scooter during a time when such a journey was virtually unheard of.
552C,LIMINAL vs. OUR TOWN,Experimental,United States,Liminal,Portland's most experimental performance troupe enters the ring with America's best-loved play. November 14 - December 12013
64,ALIENNE: The Musical Adventures of My Little Martian,Musical,US,Jim Colleran,Help us bring our wacky new space-age musical to the New York Fringe Festival!
129,Hi! Hello! Namaste? A Bollywood dance drama at the MN Fringe,Festivals,US,Sara Erdman & Divya Maiya,"The first Bollywood dance drama at MN Fringe; an extravaganza of color, culture, and dance, swirling together to tell a moving story."
125C,SILK ROAD THE PLAY by Alex Oates - EDINBURGH 2014,Festivals,United Kingdom,Emily Hubert,Drugslove and tea cosies collide in Alex Oates's debut comedy about a young lad tangled in the dark web. @silkroadtheplay
43,,,,,
506C,year around haunted house,Theater,United States,Natasha,Everyone loves haunted houses but what if you didn't have to wait 11 months to get the crap scared out of you? I have your answer.
105,Pandora's Circus,Theater,United Kingdom,Tamzen Moulding,R&D for a new acrobatic show. On our custom built set we will be calculating fairness using all the tricks in the box.
593C,The Comedy Button Podcast,Radio & Podcasts,United States,Scott Bromley,The Comedy Button is a brand new nerd pop culture podcast with weekly video sketches.
163B,BRUTE,Plays,United Kingdom,Izzy Tennyson,"Brute (winner of the 2015 IdeasTap Underbelly Award) is new writing based on the true story of a rather twisted, horrible schoolgirl."
